# Permanent Stat Upgrade Formulas (Crystal Currency)
# Cost = base_cost * (1 + level * growth_rate) * multiplier^(level / softcap_interval)
# Effect = level * effect_per_level  (capped at max_effect if set)
# Tier Effect: effect_per_level * effect_multiplier_per_tier^tier  (if tier_config exists)
#
# === Per-Stat Parameters ===
"# base_attack (기본 공격력), base_cost=20, growth=1.2, mult=1.9, softcap=8, effect/lv=4, effect_mult_tier=1.28"
"# attack_percent (공격력 배수), base_cost=10, growth=1.0, mult=1.8, softcap=8, effect/lv=0.2, max_lv=1000, max_effect=200"
"# crit_chance (크리티컬 확률), base_cost=1, growth=0.7, mult=1.7, softcap=8, effect/lv=0.09, max_lv=1000, max_effect=90"
"# crit_damage (크리티컬 배율), base_cost=1, growth=0.5, mult=1.5, softcap=10, effect/lv=0.002, max_lv=1000, max_effect=2.0"
"# multi_hit (멀티히트 확률), base_cost=1, growth=0.7, mult=1.6, softcap=8, effect/lv=0.1, max_lv=1000, max_effect=100"
"# time_extend (기본 시간 연장), base_cost=1.5, growth=0.6, mult=1.4, softcap=10, effect/lv=0.28, max_lv=300, max_effect=60, dmg_bonus/lv=0.667%"
"# upgrade_discount (업그레이드 할인), base_cost=1, growth=0.5, mult=1.3, softcap=10, effect/lv=5.0, max_lv=20, max_effect=60, dmg_bonus/lv=0.6%"
"# gold_flat_perm (영구 골드+), base_cost=0.05, growth=0.7, mult=1.6, softcap=10, effect/lv=3, effect_mult_tier=1.12"
"# gold_multi_perm (영구 골드*), base_cost=0.08, growth=0.7, mult=1.4, softcap=10, effect/lv=0.2, max_lv=1000, max_effect=200, effect_mult_tier=1.12"
"# crystal_flat (크리스탈+), base_cost=1, growth=0.9, mult=1.8, softcap=5, effect/lv=10, effect_mult_tier=0.94"
"# crystal_chance (크리스탈*), base_cost=1, growth=0.8, mult=1.7, softcap=5, effect/lv=0.1, max_lv=1000, max_effect=100, effect_mult_tier=0.94"
"# start_level (시작 레벨), base_cost=3, growth=0.5, mult=1.5, softcap=12, effect/lv=1.0"
"# start_gold (시작 골드), base_cost=1, growth=0.4, mult=1.4, softcap=12, effect/lv=150"
"# start_keyboard (시작 키보드), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"
"# start_mouse (시작 마우스), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"

Level,base_attack_cost,base_attack_cum_cost,base_attack_effect,attack_percent_cost,attack_percent_cum_cost,attack_percent_effect,crit_chance_cost,crit_chance_cum_cost,crit_chance_effect,crit_damage_cost,crit_damage_cum_cost,crit_damage_effect,multi_hit_cost,multi_hit_cum_cost,multi_hit_effect,time_extend_cost,time_extend_cum_cost,time_extend_effect,upgrade_discount_cost,upgrade_discount_cum_cost,upgrade_discount_effect,gold_flat_perm_cost,gold_flat_perm_cum_cost,gold_flat_perm_effect,gold_multi_perm_cost,gold_multi_perm_cum_cost,gold_multi_perm_effect,crystal_flat_cost,crystal_flat_cum_cost,crystal_flat_effect,crystal_chance_cost,crystal_chance_cum_cost,crystal_chance_effect,start_level_cost,start_level_cum_cost,start_level_effect,start_gold_cost,start_gold_cum_cost,start_gold_effect,start_keyboard_cost,start_keyboard_cum_cost,start_keyboard_effect,start_mouse_cost,start_mouse_cum_cost,start_mouse_effect
76,"820,201","8,984,518",304,"204,918","2,401,712",15.2,"8,381","106,172",6.84,850,"15,076",0.152,"4,712","65,174",7.6,902,"17,781",21.28,MAX,187,MAX,97,"1,590",228,56,"1,139",15.2,"526,626","4,254,682",760,"196,704","1,727,811",7.6,"1,526","30,049",76,265,"5,788",11400,"1,837","28,205",152,"1,837","28,205",152
77,"900,286","9,884,804",308,"223,405","2,625,117",15.4,"9,071","115,243",6.93,897,"15,973",0.154,"5,061","70,235",7.7,945,"18,726",21.56,MAX,187,MAX,103,"1,693",231,59,"1,198",15.4,"600,001","4,854,683",770,"221,559","1,949,370",7.7,"1,599","31,648",77,276,"6,064",11550,"1,957","30,162",154,"1,957","30,162",154
78,"988,027","10,872,831",312,"243,520","2,868,637",15.6,"9,817","125,060",7.02,946,"16,919",0.156,"5,436","75,671",7.8,990,"19,716",21.84,MAX,187,MAX,109,"1,802",234,62,"1,260",15.6,"683,489","5,538,172",780,"249,513","2,198,883",7.8,"1,675","33,323",78,287,"6,351",11700,"2,085","32,247",156,"2,085","32,247",156
79,"1,084,145","11,956,976",316,"265,404","3,134,041",15.8,"10,622","135,682",7.11,997,"17,916",0.158,"5,838","81,509",7.9,"1,036","20,752",22.12,MAX,187,MAX,116,"1,918",237,65,"1,325",15.8,"778,469","6,316,641",790,"280,950","2,479,833",7.9,"1,754","35,077",79,299,"6,650",11850,"2,221","34,468",158,"2,221","34,468",158
80,"1,189,427","13,146,403",320,"289,208","3,423,249",16,"11,492","147,174",7.2,"1,051","18,967",0.16,"6,268","87,777",8,"1,085","21,837",22.4,MAX,187,MAX,123,"2,041",240,68,"1,393",16,"886,509","7,203,150",800,"316,298","2,796,131",8,"1,836","36,913",80,311,"6,961",12000,"2,365","36,833",160,"2,365","36,833",160
81,"1,304,734","14,451,137",324,"315,100","3,738,349",16.2,"12,431","159,605",7.29,"1,108","20,075",0.162,"6,729","94,506",8.1,"1,136","22,973",22.68,MAX,187,MAX,130,"2,171",243,71,"1,464",16.2,"1,009,391","8,212,541",810,"356,040","3,152,171",8.1,"1,923","38,836",81,324,"7,285",12150,"2,518","39,351",162,"2,518","39,351",162
82,"1,431,004","15,882,141",328,"343,259","4,081,608",16.4,"13,444","173,049",7.38,"1,168","21,243",0.164,"7,222","101,728",8.2,"1,189","24,162",22.96,MAX,187,MAX,138,"2,309",246,74,"1,538",16.4,"1,149,135","9,361,676",820,"400,716","3,552,887",8.2,"2,013","40,849",82,337,"7,622",12300,"2,681","42,032",164,"2,681","42,032",164
83,"1,569,267","17,451,408",332,"373,880","4,455,488",16.6,"14,538","187,587",7.47,"1,231","22,474",0.166,"7,751","109,479",8.3,"1,244","25,406",23.24,MAX,187,MAX,147,"2,456",249,78,"1,616",16.6,"1,308,036","10,669,712",830,"450,933","4,003,820",8.3,"2,107","42,956",83,351,"7,973",12450,"2,854","44,886",166,"2,854","44,886",166
84,"1,720,643","19,172,051",336,"407,175","4,862,663",16.8,"15,719","203,306",7.56,"1,297","23,771",0.168,"8,317","117,796",8.4,"1,302","26,708",23.52,MAX,187,MAX,155,"2,611",252,81,"1,697",16.8,"1,488,699","12,158,411",840,"507,372","4,511,192",8.4,"2,205","45,161",84,365,"8,338",12600,"3,037","47,923",168,"3,037","47,923",168
85,"1,886,359","21,058,410",340,"443,373","5,306,036",17,"16,994","220,300",7.65,"1,366","25,137",0.17,"8,924","126,720",8.5,"1,363","28,071",23.8,MAX,187,MAX,165,"2,776",255,85,"1,782",17,"1,694,082","13,852,493",850,"570,796","5,081,988",8.5,"2,307","47,468",85,380,"8,718",12750,"3,232","51,155",170,"3,232","51,155",170
86,"2,067,755","23,126,165",344,"482,724","5,788,760",17.2,"18,369","238,669",7.74,"1,439","26,576",0.172,"9,573","136,293",8.6,"1,425","29,496",24.08,MAX,187,MAX,175,"2,951",258,89,"1,871",17.2,"1,927,539","15,780,032",860,"642,062","5,724,050",8.6,"2,414","49,882",86,395,"9,113",12900,"3,440","54,595",172,"3,440","54,595",172
87,"2,266,293","25,392,458",348,"525,499","6,314,259",17.4,"19,853","258,522",7.83,"1,515","28,091",0.174,"10,269","146,562",8.7,"1,491","30,987",24.36,MAX,187,MAX,185,"3,136",261,93,"1,964",17.4,"2,192,880","17,972,912",870,"722,131","6,446,181",8.7,"2,525","52,407",87,411,"9,524",13050,"3,659","58,254",174,"3,659","58,254",174
88,"2,483,573","27,876,031",352,"571,989","6,886,248",17.6,"21,455","279,977",7.92,"1,596","29,687",0.176,"11,013","157,575",8.8,"1,559","32,546",24.64,MAX,187,MAX,196,"3,332",264,97,"2,061",17.6,"2,494,426","20,467,338",880,"812,081","7,258,262",8.8,"2,641","55,048",88,427,"9,951",13200,"3,893","62,147",176,"3,893","62,147",176
89,"2,721,339","30,597,370",356,"622,515","7,508,763",17.8,"23,182","303,159",8.01,"1,680","31,367",0.178,"11,810","169,385",8.9,"1,631","34,177",24.92,MAX,187,MAX,208,"3,540",267,102,"2,163",17.8,"2,837,080","23,304,418",890,"913,121","8,171,383",8.9,"2,762","57,810",89,444,"10,395",13350,"4,141","66,288",178,"4,141","66,288",178
90,"2,981,498","33,578,868",360,"677,419","8,186,182",18,"25,046","328,205",8.1,"1,769","33,136",0.18,"12,663","182,048",9,"1,705","35,882",25.2,MAX,187,MAX,220,"3,760",270,106,"2,269",18,"3,226,406","26,530,824",900,"1,026,606","9,197,989",9,"2,888","60,698",90,462,"10,857",13500,"4,404","70,692",180,"4,404","70,692",180
91,"3,266,133","36,845,001",364,"737,077","8,923,259",18.2,"27,056","355,261",8.19,"1,862","34,998",0.182,"13,576","195,624",9.1,"1,783","37,665",25.48,MAX,187,MAX,234,"3,994",273,111,"2,380",18.2,"3,668,717","30,199,541",910,"1,154,056","10,352,045",9.1,"3,020","63,718",91,480,"11,337",13650,"4,683","75,375",182,"4,683","75,375",182
92,"3,577,517","40,422,518",368,"801,894","9,725,153",18.4,"29,225","384,486",8.28,"1,960","36,958",0.184,"14,554","210,178",9.2,"1,863","39,528",25.76,MAX,187,MAX,247,"4,241",276,116,"2,496",18.4,"4,171,173","34,370,714",920,"1,297,177","11,649,222",9.2,"3,157","66,875",92,499,"11,836",13800,"4,980","80,355",184,"4,980","80,355",184
93,"3,918,132","44,340,650",372,"872,310","10,597,463",18.6,"31,563","416,049",8.37,"2,063","39,021",0.186,"15,599","225,777",9.3,"1,948","41,476",26.04,MAX,187,MAX,262,"4,503",279,121,"2,617",18.6,"4,741,896","39,112,610",930,"1,457,879","13,107,101",9.3,"3,301","70,176",93,519,"12,355",13950,"5,294","85,649",186,"5,294","85,649",186
94,"4,290,690","48,631,340",376,"948,802","11,546,265",18.8,"34,085","450,134",8.46,"2,171","41,192",0.188,"16,719","242,496",9.4,"2,036","43,512",26.32,MAX,187,MAX,277,"4,780",282,127,"2,744",18.8,"5,390,101","44,502,711",940,"1,638,305","14,745,406",9.4,"3,450","73,626",94,539,"12,894",14100,"5,628","91,277",188,"5,628","91,277",188
95,"4,698,150","53,329,490",380,"1,031,888","12,578,153",19,"36,804","486,938",8.55,"2,284","43,476",0.19,"17,916","260,412",9.5,"2,127","45,639",26.6,MAX,187,MAX,294,"5,074",285,133,"2,877",19,"6,126,236","50,628,947",950,"1,840,858","16,586,264",9.5,"3,606","77,232",95,560,"13,454",14250,"5,982","97,259",190,"5,982","97,259",190
96,"5,143,744","58,473,234",384,"1,122,127","13,700,280",19.2,"39,735","526,673",8.64,"2,403","45,879",0.192,"19,197","279,609",9.6,"2,223","47,862",26.88,MAX,187,MAX,311,"5,385",288,138,"3,015",19.2,"6,962,153","57,591,100",960,"2,068,231","18,654,495",9.6,"3,768","81,000",96,582,"14,036",14400,"6,358","103,617",192,"6,358","103,617",192
97,"5,631,000","64,104,234",388,"1,220,128","14,920,408",19.4,"42,896","569,569",8.73,"2,528","48,407",0.194,"20,568","300,177",9.7,"2,322","50,184",27.16,MAX,187,MAX,329,"5,714",291,145,"3,160",19.4,"7,911,290","65,502,390",970,"2,323,441","20,977,936",9.7,"3,937","84,937",97,605,"14,641",14550,"6,757","110,374",194,"6,757","110,374",194
98,"6,163,769","70,268,003",392,"1,326,550","16,246,958",19.6,"46,303","615,872",8.82,"2,659","51,066",0.196,"22,034","322,211",9.8,"2,426","52,610",27.44,MAX,187,MAX,349,"6,063",294,151,"3,311",19.6,"8,988,888","74,491,278",980,"2,609,873","23,587,809",9.8,"4,114","89,051",98,628,"15,269",14700,"7,180","117,554",196,"7,180","117,554",196
99,"6,746,254","77,014,257",396,"1,442,107","17,689,065",19.8,"49,976","665,848",8.91,"2,797","53,863",0.198,"23,602","345,813",9.9,"2,534","55,144",27.72,MAX,187,MAX,369,"6,432",297,158,"3,469",19.8,"10,212,226","84,703,504",990,"2,931,319","26,519,128",9.9,"4,298","93,349",99,652,"15,921",14850,"7,629","125,183",198,"7,629","125,183",198
100,"7,383,043","84,397,300",400,"1,567,573","19,256,638",20,"53,935","719,783",9,"2,941","56,804",0.2,"25,279","371,092",10,"2,647","57,791",28,MAX,187,MAX,391,"6,823",300,165,"3,634",20,"11,600,895","96,304,399",1000,"3,292,028","29,811,156",10,"4,489","97,838",100,677,"16,598",15000,"8,105","133,288",200,"8,105","133,288",200
